DAT;7654393;BME688;350;162798.09;163265.31;174803.69;140891.58;153155.84;144103.58;176430.05;171812.08
DAT;7654544;BME688;350;364153.62;364932.28;363765.53;312767.25;315076.94;312767.25;364153.62;394301.13
DAT;7654694;BME688;350;354325.25;354325.25;355802.66;303587.31;306311.69;297242.37;355432.16;380881.53
DAT;7654844;BME688;350;345013.47;343624.16;343970.44;295953.75;298803.63;288450.72;345013.47;361071.94
DAT;7654995;BME688;350;338512.41;336178.59;338177.00;287721.28;291157.25;281783.16;334203.66;351769.16
DAT;7655145;BME688;350;331928.69;328099.97;332575.50;281550.72;287237.03;274310.22;323743.28;343970.44
DAT;7655296;BME688;350;324667.09;321911.34;324976.19;276981.34;279934.37;268484.53;315368.03;337508.25
DAT;7655446;BME688;350;318903.78;314496.31;317126.03;271690.09;275862.06;261091.28;308248.03;328099.97
DAT;7655597;BME688;350;313054.12;309365.56;311057.09;264941.78;268907.56;255616.58;301442.44;321608.03
DAT;7655747;BME688;350;307969.94;302779.41;305762.91;260891.72;265147.59;250734.58;294676.25;314786.34
DAT;7655897;BME688;350;302243.22;295697.38;298803.63;256000.00;260294.86;246213.03;288939.06;307692.31
DAT;7656048;BME688;350;298020.97;290167.19;293915.03;251473.48;254473.16;240658.05;283892.44;303048.25
DAT;7656198;BME688;350;292655.03;286033.53;289674.69;247462.55;250918.89;235024.09;278336.50;296467.88
DAT;7656349;BME688;350;287964.00;280855.72;285077.94;242023.16;246390.77;229185.31;275194.84;292404.34
DAT;7656499;BME688;350;284602.56;277883.31;281783.16;237973.50;241338.67;225849.14;269544.62;287478.94
DAT;7656650;BME688;350;278791.19;273650.47;277883.31;233736.59;238472.28;222174.00;265974.03;282716.72
DAT;7656800;BME688;350;275862.06;267852.47;274751.81;231674.20;235510.58;218197.31;261291.14;277206.28
DAT;7656951;BME688;350;272993.88;262295.09;271042.87;227202.13;233736.59;214495.19;257157.20;273650.47
DAT;7657101;BME688;350;268273.50;257934.52;268062.81;222463.61;229339.31;211570.25;253528.09;269544.62
DAT;7657251;BME688;350;263713.62;255425.30;264941.78;220452.09;225550.66;208087.78;248724.80;264531.12
DAT;7657338;BME688;400;259306.16;250918.89;262295.09;217225.28;223629.61;178272.98;160050.02;163421.64
DAT;7657457;BME688;400;121615.20;120584.08;129064.78;104043.89;112035.01;102666.94;125091.62;125644.17
DAT;7657565;BME688;400;126482.21;126669.97;134242.27;108405.67;117512.05;107450.16;132368.16;130946.29
DAT;7657673;BME688;400;129751.65;130545.64;139168.25;111741.59;122929.17;112403.95;137486.58;135845.05
DAT;7657782;BME688;400;133821.22;134031.41;142420.03;114823.95;125644.17;115523.47;141946.22;139967.19
DAT;7657890;BME688;400;137265.42;136715.62;145827.41;117755.29;128192.29;120075.05;146578.88;143377.20
DAT;7657998;BME688;400;140427.86;140891.58;149271.14;120498.94;131450.58;123017.78;149795.20;146578.88
DAT;7658107;BME688;400;142538.97;143377.20;152064.16;122312.47;134136.75;125367.29;153984.97;150721.22
DAT;7658215;BME688;400;144960.36;146957.52;154263.33;125091.62;137265.42;128578.60;157393.17;153846.16
DAT;7658323;BME688;400;147084.17;148105.30;157393.17;126858.27;138828.64;130845.90;159601.00;156383.63
DAT;7658432;BME688;400;149401.81;150987.91;159451.89;129162.46;141358.36;132368.16;163421.64;157538.47
DAT;7658540;BME688;400;152881.45;153155.84;162179.28;131046.84;143136.70;134878.81;166125.89;161107.61
DAT;7658648;BME688;400;153431.22;155245.61;164842.23;132883.47;145207.03;136387.86;167758.84;162488.09
DAT;7658757;BME688;400;155670.42;157248.16;166125.89;134242.27;145952.11;138603.14;171294.75;164049.98
DAT;7658865;BME688;400;157248.16;159006.22;169256.20;135737.02;148362.80;140543.52;173559.33;167594.11
DAT;7658973;BME688;400;158563.02;160955.67;171294.75;137819.66;150987.91;142777.47;175884.58;169088.50
DAT;7659081;BME688;400;161107.61;162798.09;172332.55;138941.66;151658.77;144225.36;176795.58;172158.70
DAT;7659190;BME688;400;162488.09;164524.42;174090.45;139852.50;153431.22;145578.62;178646.20;173031.42
DAT;7659298;BME688;400;163735.20;166125.89;176978.92;142301.28;155812.53;147720.72;181495.92;173031.42
DAT;7659406;BME688;400;165321.28;167265.59;178272.98;143860.64;154542.70;149140.69;182271.27;176066.03
DAT;7659515;BME688;400;166287.75;168587.42;179586.11;144960.36;158268.94;149926.80;184438.05;177716.08
DAT;7659623;BME688;400;167594.11;170099.67;180154.83;145330.69;156958.92;152064.16;186656.94;177716.08
DAT;7659731;BME688;400;168587.42;171985.22;182076.81;146704.88;160501.56;151658.77;191832.14;180345.19
DAT;7659840;BME688;400;170780.52;173559.33;184637.58;148880.48;161718.25;153018.53;194012.89;183644.19
DAT;7659948;BME688;400;171123.00;173559.33;186249.55;149926.80;163578.28;154682.78;194565.84;184238.94
DAT;7660056;BME688;400;171812.08;175703.50;191940.02;150588.23;163735.20;155812.53;196809.53;184040.27
DAT;7660165;BME688;400;174446.34;176247.84;191832.14;150987.91;163265.31;156814.70;197950.91;185037.95
DAT;7660273;BME688;400;174624.83;178086.95;194012.89;151658.77;166775.25;158268.94;198295.89;191509.25
DAT;7660434;BME688;350;175703.50;179586.11;194012.89;153155.84;164049.98;158415.84;199454.61;191509.25
DAT;7660584;BME688;350;411410.22;404583.16;417703.44;344665.09;345013.47;344317.41;425249.16;433072.53
DAT;7660735;BME688;350;398676.28;393392.25;406995.22;336842.09;337174.84;334859.38;412155.38;419242.59
DAT;7660885;BME688;350;389353.63;382803.75;397515.53;327470.41;330963.16;326218.53;399142.47;407724.47
DAT;7661036;BME688;350;379821.97;377094.47;387805.34;320701.53;324050.62;317420.97;388025.78;400547.62
DAT;7661186;BME688;350;364932.28;357666.78;382160.84;315368.03;316537.88;307415.19;378138.84;390914.28
DAT;7661337;BME688;350;357666.78;352860.09;364153.62;308526.66;311909.84;300645.91;360690.37;382160.84
DAT;7661487;BME688;350;351407.00;345362.56;358794.69;302779.41;304943.41;293915.03;353225.25;363765.53
DAT;7661637;BME688;350;345362.56;339522.53;350684.94;296983.75;299327.69;286513.72;346062.84;356918.78
DAT;7661788;BME688;350;339522.53;331928.69;345362.56;291654.81;294168.34;282015.97;337842.28;350325.00
DAT;7661938;BME688;350;333550.50;325596.19;337508.25;286033.53;289183.84;274089.94;330003.22;342246.00
DAT;7662089;BME688;350;328731.94;320400.50;334203.66;281318.69;285077.94;270613.09;323130.31;337174.84
DAT;7662239;BME688;350;323130.31;316537.88;328731.94;277883.31;280855.72;264531.12;316831.69;330963.16
DAT;7662390;BME688;350;316537.88;309085.41;322519.69;272775.72;276981.34;260891.72;311057.09;325907.06
DAT;7662540;BME688;350;312480.94;304943.41;321003.13;267852.47;272775.72;256963.61;307415.19;320701.53
DAT;7662690;BME688;350;309365.56;299853.59;313341.50;264531.12;268907.56;251103.48;300910.97;313341.50
DAT;7662841;BME688;350;304943.41;296210.59;309646.22;260891.72;264736.31;246568.75;295953.75;310773.91
DAT;7662991;BME688;350;299327.69;292404.34;307415.19;256770.31;261291.14;242023.16;291157.25;306037.06
