Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Styrolution,3,5149546,0,Upper,1,812053.94,1
Styrolution,3,5149565,1,Upper,1,1077327.75,1
Styrolution,3,5149574,2,Upper,1,799219.50,1
Styrolution,3,5149593,3,Upper,1,953223.19,1
Styrolution,3,5149612,4,Upper,1,889854.44,1
Styrolution,3,5149620,5,Upper,1,906395.25,1
Styrolution,3,5149629,6,Upper,1,748264.50,1
Styrolution,3,5149637,7,Upper,1,773413.88,1
Styrolution,3,5149646,0,Upper,2,805348.00,1
Styrolution,3,5149654,1,Upper,2,1071409.87,1
Styrolution,3,5149663,2,Upper,2,805823.31,1
Styrolution,3,5149671,3,Upper,2,952558.13,1
Styrolution,3,5149680,4,Upper,2,881808.38,1
Styrolution,3,5149688,5,Upper,2,903396.56,1
Styrolution,3,5149697,6,Upper,2,743375.69,1
Styrolution,3,5149705,7,Upper,2,774291.13,1
Styrolution,3,5149714,0,Upper,3,812053.94,1
Styrolution,3,5149722,1,Upper,3,1079030.50,1
Styrolution,3,5149731,2,Upper,3,805823.31,1
Styrolution,3,5149739,3,Upper,3,951894.00,1
Styrolution,3,5149748,4,Upper,3,888117.94,1
Styrolution,3,5149756,5,Upper,3,908204.00,1
Styrolution,3,5149765,6,Upper,3,741760.25,1
Styrolution,3,5149773,7,Upper,3,769490.88,1
Styrolution,3,5149782,0,Upper,4,810607.56,1
Styrolution,3,5149790,1,Upper,4,1073938.12,1
Styrolution,3,5149799,2,Upper,4,808208.37,1
Styrolution,3,5149807,3,Upper,4,947271.06,1
Styrolution,3,5149816,4,Upper,4,883520.25,1
Styrolution,3,5149824,5,Upper,4,903396.56,1
Styrolution,3,5149833,6,Upper,4,745812.06,1
Styrolution,3,5149841,7,Upper,4,769924.81,1
Styrolution,3,5149850,0,Upper,5,802507.81,1
Styrolution,3,5149858,1,Upper,5,1073094.00,1
Styrolution,3,5149867,2,Upper,5,797818.44,1
Styrolution,3,5149875,3,Upper,5,940744.13,1
Styrolution,3,5149884,4,Upper,5,877839.69,1
Styrolution,3,5149892,5,Upper,5,899824.25,1
Styrolution,3,5149901,6,Upper,5,741760.25,1
Styrolution,3,5149909,7,Upper,5,759221.50,1
Styrolution,3,5149918,0,Upper,6,808687.06,1
Styrolution,3,5149926,1,Upper,6,1077327.75,1
Styrolution,3,5149935,2,Upper,6,798751.94,1
Styrolution,3,5149943,3,Upper,6,937514.31,1
