Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
645-2,4,1561105,3,Upper,1,1338124.75,1
645-2,4,1561124,4,Upper,1,1266151.50,1
645-2,4,1561132,5,Upper,1,1293746.00,1
645-2,4,1561141,6,Upper,1,1091102.88,1
645-2,4,1561149,7,Upper,1,1140311.75,1
645-2,4,1561158,0,Upper,2,1106130.12,1
645-2,4,1561166,1,Upper,2,1481910.25,1
645-2,4,1561175,2,Upper,2,1137461.87,1
645-2,4,1561183,3,Upper,2,1332899.50,1
645-2,4,1561192,4,Upper,2,1275615.12,1
645-2,4,1561200,5,Upper,2,1311139.62,1
645-2,4,1561209,6,Upper,2,1083311.25,1
645-2,4,1561217,7,Upper,2,1138410.25,1
645-2,4,1561226,0,Upper,3,1112438.87,1
645-2,4,1561234,1,Upper,3,1505052.37,1
645-2,4,1561243,2,Upper,3,1140311.75,1
645-2,4,1561251,3,Upper,3,1343391.25,1
645-2,4,1561260,4,Upper,3,1274424.37,1
645-2,4,1561268,5,Upper,3,1308626.25,1
645-2,4,1561277,6,Upper,3,1085896.12,1
645-2,4,1561285,7,Upper,3,1140311.75,1
645-2,4,1561294,0,Upper,4,1110629.12,1
645-2,4,1561302,1,Upper,4,1502567.87,1
645-2,4,1561311,2,Upper,4,1128996.75,1
645-2,4,1561319,3,Upper,4,1332899.50,1
645-2,4,1561328,4,Upper,4,1268504.12,1
645-2,4,1561336,5,Upper,4,1288860.87,1
645-2,4,1561345,6,Upper,4,1089361.75,1
645-2,4,1561353,7,Upper,4,1141265.00,1
645-2,4,1561362,0,Upper,5,1107027.00,1
645-2,4,1561370,1,Upper,5,1470736.12,1
645-2,4,1561379,2,Upper,5,1125274.75,1
645-2,4,1561387,3,Upper,5,1343391.25,1
645-2,4,1561396,4,Upper,5,1273235.87,1
645-2,4,1561404,5,Upper,5,1290078.75,1
645-2,4,1561413,6,Upper,5,1068893.50,1
645-2,4,1561421,7,Upper,5,1132743.37,1
645-2,4,1561430,0,Upper,6,1104340.75,1
645-2,4,1561438,1,Upper,6,1465998.62,1
645-2,4,1561447,2,Upper,6,1128063.87,1
645-2,4,1561455,3,Upper,6,1325137.50,1
645-2,4,1561464,4,Upper,6,1269683.87,1
645-2,4,1561472,5,Upper,6,1286432.12,1
645-2,4,1561481,6,Upper,6,1074783.50,1
645-2,4,1561489,7,Upper,6,1137461.87,1
645-2,4,1561498,0,Upper,7,1107027.00,1
645-2,4,1561506,1,Upper,7,1478700.37,1
645-2,4,1561515,2,Upper,7,1132743.37,1
645-2,4,1561523,3,Upper,7,1336814.62,1
645-2,4,1561532,4,Upper,7,1255671.37,1
645-2,4,1561540,5,Upper,7,1287645.37,1
645-2,4,1561549,6,Upper,7,1079884.00,1
645-2,4,1561557,7,Upper,7,1131804.37,1
645-2,4,1561566,0,Upper,8,1112438.87,1
645-2,4,1561574,1,Upper,8,1462857.12,1
645-2,4,1561583,2,Upper,8,1129931.00,1
645-2,4,1561591,3,Upper,8,1327714.75,1
645-2,4,1561600,4,Upper,8,1268504.12,1
645-2,4,1561608,5,Upper,8,1285221.25,1
645-2,4,1561617,6,Upper,8,1079884.00,1
645-2,4,1561625,7,Upper,8,1141265.00,1
645-2,4,1561634,0,Upper,9,1108825.12,1
645-2,4,1561642,1,Upper,9,1464426.12,1
645-2,4,1561651,2,Upper,9,1128063.87,1
645-2,4,1561659,3,Upper,9,1316195.37,1
645-2,4,1561668,4,Upper,9,1259145.37,1
645-2,4,1561676,5,Upper,9,1288860.87,1
645-2,4,1561685,6,Upper,9,1076478.37,1
645-2,4,1561693,7,Upper,9,1141265.00,1
645-2,4,1561702,0,Upper,10,1098123.37,1
645-2,4,1561710,1,Upper,10,1461291.50,1
645-2,4,1561719,2,Upper,10,1124348.12,1
645-2,4,1561727,3,Upper,10,1336814.62,1
645-2,4,1561736,4,Upper,10,1261472.12,1
645-2,4,1561744,5,Upper,10,1278003.12,1
645-2,4,1561753,6,Upper,10,1074783.50,1
645-2,4,1561761,7,Upper,10,1133683.87,1
645-2,4,1561770,0,Upper,11,1104340.75,1
645-2,4,1561778,1,Upper,11,1475504.37,1
645-2,4,1561787,2,Upper,11,1114254.62,1
645-2,4,1561795,3,Upper,11,1334202.00,1
645-2,4,1561804,4,Upper,11,1268504.12,1
645-2,4,1561812,5,Upper,11,1284012.50,1
645-2,4,1561821,6,Upper,11,1074783.50,1
645-2,4,1561829,7,Upper,11,1129931.00,1
645-2,4,1561838,0,Upper,12,1098123.37,1
645-2,4,1561846,1,Upper,12,1475504.37,1
645-2,4,1561855,2,Upper,12,1129931.00,1
645-2,4,1561863,3,Upper,12,1303628.25,1
645-2,4,1561872,4,Upper,12,1245363.37,1
645-2,4,1561880,5,Upper,12,1285221.25,1
645-2,4,1561889,6,Upper,12,1077327.75,1
645-2,4,1561897,7,Upper,12,1137461.87,1
645-2,4,1561906,0,Upper,13,1100779.37,1
645-2,4,1561914,1,Upper,13,1455062.12,1
645-2,4,1561923,2,Upper,13,1122499.37,1
645-2,4,1561931,3,Upper,13,1321290.37,1
645-2,4,1561940,4,Upper,13,1255671.37,1
645-2,4,1561948,5,Upper,13,1284012.50,1
645-2,4,1561957,6,Upper,13,1072251.25,1
645-2,4,1561965,7,Upper,13,1131804.37,1
645-2,4,1561974,0,Upper,14,1106130.12,1
645-2,4,1561982,1,Upper,14,1473911.50,1
645-2,4,1561991,2,Upper,14,1123422.87,1
645-2,4,1561999,3,Upper,14,1326424.87,1
645-2,4,1562008,4,Upper,14,1255671.37,1
645-2,4,1562016,5,Upper,14,1287645.37,1
645-2,4,1562025,6,Upper,14,1083311.25,1
645-2,4,1562033,7,Upper,14,1130866.87,1
645-2,4,1562042,0,Upper,15,1103448.25,1
645-2,4,1562050,1,Upper,15,1473911.50,1
645-2,4,1562059,2,Upper,15,1124348.12,1
645-2,4,1562067,3,Upper,15,1320012.87,1
645-2,4,1562076,4,Upper,15,1254517.62,1
645-2,4,1562084,5,Upper,15,1279200.50,1
645-2,4,1562093,6,Upper,15,1076478.37,1
645-2,4,1562101,7,Upper,15,1124348.12,1
645-2,4,1562110,0,Upper,16,1095480.12,1
645-2,4,1562118,1,Upper,16,1473911.50,1
645-2,4,1562127,2,Upper,16,1128063.87,1
645-2,4,1562135,3,Upper,16,1314927.75,1
645-2,4,1562144,4,Upper,16,1254517.62,1
645-2,4,1562152,5,Upper,16,1284012.50,1
645-2,4,1562161,6,Upper,16,1079884.00,1
645-2,4,1562169,7,Upper,16,1125274.75,1
645-2,4,1562178,0,Upper,17,1106130.12,1
645-2,4,1562186,1,Upper,17,1472322.12,1
645-2,4,1562195,2,Upper,17,1116989.37,1
645-2,4,1562203,3,Upper,17,1322570.25,1
645-2,4,1562212,4,Upper,17,1249923.75,1
645-2,4,1562220,5,Upper,17,1297434.25,1
645-2,4,1562229,6,Upper,17,1071409.87,1
645-2,4,1562237,7,Upper,17,1127132.62,1
645-2,4,1562246,0,Upper,18,1094601.87,1
645-2,4,1562254,1,Upper,18,1467574.37,1
645-2,4,1562263,2,Upper,18,1121577.25,1
645-2,4,1562271,3,Upper,18,1325137.50,1
645-2,4,1562280,4,Upper,18,1253366.00,1
645-2,4,1562288,5,Upper,18,1297434.25,1
645-2,4,1562297,6,Upper,18,1078178.50,1
645-2,4,1562305,7,Upper,18,1126202.87,1
645-2,4,1562314,0,Upper,19,1096359.75,1
645-2,4,1562322,1,Upper,19,1470736.12,1
645-2,4,1562331,2,Upper,19,1122499.37,1
645-2,4,1562339,3,Upper,19,1329007.12,1
645-2,4,1562348,4,Upper,19,1246500.25,1
645-2,4,1562356,5,Upper,19,1269683.87,1
645-2,4,1562365,6,Upper,19,1068057.37,1
645-2,4,1562373,7,Upper,19,1128063.87,1
645-2,4,1562382,0,Upper,20,1101667.62,1
645-2,4,1562390,1,Upper,20,1478700.37,1
645-2,4,1562399,2,Upper,20,1124348.12,1
645-2,4,1562407,3,Upper,20,1316195.37,1
645-2,4,1562416,4,Upper,20,1254517.62,1
645-2,4,1562424,5,Upper,20,1299904.75,1
645-2,4,1562433,6,Upper,20,1071409.87,1
645-2,4,1562441,7,Upper,20,1124348.12,1
645-2,4,1562450,0,Upper,21,1090231.62,1
645-2,4,1562458,1,Upper,21,1462857.12,1
645-2,4,1562467,2,Upper,21,1128996.75,1
645-2,4,1562475,3,Upper,21,1314927.75,1
645-2,4,1562484,4,Upper,21,1254517.62,1
645-2,4,1562492,5,Upper,21,1304874.12,1
645-2,4,1562501,6,Upper,21,1071409.87,1
645-2,4,1562509,7,Upper,21,1117903.87,1
645-2,4,1562518,0,Upper,22,1097240.87,1
645-2,4,1562526,1,Upper,22,1475504.37,1
645-2,4,1562535,2,Upper,22,1116989.37,1
645-2,4,1562543,3,Upper,22,1321290.37,1
645-2,4,1562552,4,Upper,22,1243095.62,1
645-2,4,1562560,5,Upper,22,1276808.00,1
645-2,4,1562569,6,Upper,22,1070569.75,1
645-2,4,1562577,7,Upper,22,1125274.75,1
645-2,4,1562586,0,Upper,23,1097240.87,1
645-2,4,1562594,1,Upper,23,1458170.12,1
645-2,4,1562603,2,Upper,23,1119737.50,1
645-2,4,1562611,3,Upper,23,1313662.62,1
645-2,4,1562620,4,Upper,23,1236341.62,1
645-2,4,1562628,5,Upper,23,1294973.12,1
645-2,4,1562637,6,Upper,23,1068057.37,1
645-2,4,1562645,7,Upper,23,1121577.25,1
645-2,4,1562654,0,Upper,24,1094601.87,1
645-2,4,1562662,1,Upper,24,1459729.12,1
645-2,4,1562671,2,Upper,24,1119737.50,1
645-2,4,1562679,3,Upper,24,1314927.75,1
645-2,4,1562688,4,Upper,24,1247639.37,1
645-2,4,1562696,5,Upper,24,1293746.00,1
645-2,4,1562705,6,Upper,24,1068057.37,1
645-2,4,1562713,7,Upper,24,1140311.75,1
645-2,4,1562722,0,Upper,25,1091975.50,1
645-2,4,1562730,1,Upper,25,1459729.12,1
645-2,4,1562739,2,Upper,25,1119737.50,1
645-2,4,1562747,3,Upper,25,1316195.37,1
645-2,4,1562756,4,Upper,25,1253366.00,1
645-2,4,1562764,5,Upper,25,1296202.50,1
645-2,4,1562773,6,Upper,25,1057305.12,1
645-2,4,1562781,7,Upper,25,1116989.37,1
645-2,4,1562790,0,Upper,26,1089361.75,1
645-2,4,1562798,1,Upper,26,1453513.12,1
645-2,4,1562807,2,Upper,26,1116076.25,1
645-2,4,1562815,3,Upper,26,1312399.87,1
645-2,4,1562824,4,Upper,26,1244228.37,1
645-2,4,1562832,5,Upper,26,1292521.25,1
645-2,4,1562841,6,Upper,26,1060590.37,1
645-2,4,1562849,7,Upper,26,1117903.87,1
645-2,4,1562858,0,Upper,27,1089361.75,1
645-2,4,1562866,1,Upper,27,1453513.12,1
645-2,4,1562875,2,Upper,27,1109726.37,1
645-2,4,1562883,3,Upper,27,1316195.37,1
645-2,4,1562892,4,Upper,27,1239709.50,1
645-2,4,1562900,5,Upper,27,1285221.25,1
645-2,4,1562909,6,Upper,27,1063067.75,1
645-2,4,1562917,7,Upper,27,1118820.00,1
645-2,4,1562926,0,Upper,28,1088493.25,1
645-2,4,1562934,1,Upper,28,1453513.12,1
645-2,4,1562943,2,Upper,28,1112438.87,1
645-2,4,1562951,3,Upper,28,1308626.25,1
645-2,4,1562960,4,Upper,28,1238584.87,1
645-2,4,1562968,5,Upper,28,1282806.12,1
645-2,4,1562977,6,Upper,28,1068057.37,1
645-2,4,1562985,7,Upper,28,1121577.25,1
645-2,4,1562994,0,Upper,29,1086760.37,1
645-2,4,1563002,1,Upper,29,1467574.37,1
645-2,4,1563011,2,Upper,29,1115164.75,1
645-2,4,1563019,3,Upper,29,1323852.62,1
645-2,4,1563028,4,Upper,29,1241964.87,1
645-2,4,1563036,5,Upper,29,1287645.37,1
645-2,4,1563045,6,Upper,29,1060590.37,1
645-2,4,1563053,7,Upper,29,1115164.75,1
645-2,4,1563062,0,Lower,30,1090231.62,1
645-2,4,1563070,1,Lower,30,1448885.75,1
645-2,4,1563079,2,Lower,30,1116989.37,1
645-2,4,1563087,3,Lower,30,1307373.12,1
645-2,4,1563096,4,Lower,30,1238584.87,1
645-2,4,1563104,5,Lower,30,1284012.50,1
645-2,4,1563113,6,Lower,30,1058945.25,1
645-2,4,1563121,7,Lower,30,1111533.25,1
645-2,4,1563130,0,Lower,31,102400000.00,1
645-2,4,1563138,1,Lower,31,102400000.00,1
645-2,4,1563147,2,Lower,31,102400000.00,1
