Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
644-2,1,256413,1,Upper,1,1552103.12,1
644-2,1,256422,2,Upper,1,1151856.00,1
644-2,1,256430,3,Upper,1,1398429.50,1
644-2,1,256449,4,Upper,1,1332899.50,1
644-2,1,256469,5,Upper,1,1385656.25,1
644-2,1,256477,6,Upper,1,1168616.25,1
644-2,1,256486,7,Upper,1,1185871.50,1
644-2,1,256494,0,Upper,2,1149915.75,1
644-2,1,256503,1,Upper,2,1552985.75,1
644-2,1,256511,2,Upper,2,1157716.25,1
644-2,1,256520,3,Upper,2,1396998.62,1
644-2,1,256528,4,Upper,2,1334202.00,1
644-2,1,256537,5,Upper,2,1375881.75,1
644-2,1,256545,6,Upper,2,1159682.87,1
644-2,1,256554,7,Upper,2,1191043.87,1
644-2,1,256562,0,Upper,3,1139360.25,1
644-2,1,256571,1,Upper,3,1535520.12,1
644-2,1,256579,2,Upper,3,1150885.12,1
644-2,1,256588,3,Upper,3,1368984.00,1
644-2,1,256596,4,Upper,3,1322570.25,1
644-2,1,256605,5,Upper,3,1377269.62,1
644-2,1,256613,6,Upper,3,1159682.87,1
644-2,1,256622,7,Upper,3,1186902.37,1
644-2,1,256630,0,Upper,4,1140311.75,1
644-2,1,256639,1,Upper,4,1537249.00,1
644-2,1,256647,2,Upper,4,1143176.12,1
644-2,1,256656,3,Upper,4,1368984.00,1
644-2,1,256664,4,Upper,4,1332899.50,1
644-2,1,256673,5,Upper,4,1348699.37,1
644-2,1,256681,6,Upper,4,1162645.50,1
644-2,1,256690,7,Upper,4,1179723.50,1
644-2,1,256698,0,Upper,5,1143176.12,1
644-2,1,256707,1,Upper,5,1537249.00,1
644-2,1,256715,2,Upper,5,1146054.87,1
644-2,1,256724,3,Upper,5,1389888.00,1
644-2,1,256732,4,Upper,5,1320012.87,1
644-2,1,256741,5,Upper,5,1342070.75,1
644-2,1,256749,6,Upper,5,1157716.25,1
644-2,1,256758,7,Upper,5,1185871.50,1
644-2,1,256766,0,Upper,6,1150885.12,1
644-2,1,256775,1,Upper,6,1554754.25,1
644-2,1,256783,2,Upper,6,1147017.62,1
644-2,1,256792,3,Upper,6,1358090.12,1
644-2,1,256800,4,Upper,6,1325137.50,1
644-2,1,256809,5,Upper,6,1340752.87,1
644-2,1,256817,6,Upper,6,1169617.37,1
644-2,1,256826,7,Upper,6,1186902.37,1
644-2,1,256834,0,Upper,7,1144134.12,1
644-2,1,256843,1,Upper,7,1533795.12,1
644-2,1,256851,2,Upper,7,1142219.75,1
644-2,1,256860,3,Upper,7,1387064.00,1
644-2,1,256868,4,Upper,7,1327714.75,1
644-2,1,256877,5,Upper,7,1342070.75,1
644-2,1,256885,6,Upper,7,1162645.50,1
644-2,1,256894,7,Upper,7,1178705.00,1
644-2,1,256902,0,Upper,8,1139360.25,1
644-2,1,256911,1,Upper,8,1548582.25,1
644-2,1,256919,2,Upper,8,1141265.00,1
644-2,1,256928,3,Upper,8,1387064.00,1
644-2,1,256936,4,Upper,8,1321290.37,1
644-2,1,256945,5,Upper,8,1350033.00,1
644-2,1,256953,6,Upper,8,1156735.37,1
644-2,1,256962,7,Upper,8,1179723.50,1
644-2,1,256970,0,Upper,9,1134626.00,1
644-2,1,256979,1,Upper,9,1538114.88,1
644-2,1,256987,2,Upper,9,1145093.62,1
644-2,1,256996,3,Upper,9,1388474.62,1
644-2,1,257004,4,Upper,9,1314927.75,1
644-2,1,257013,5,Upper,9,1346040.12,1
