kein Glas;6542184;0;Upper;16;90880850;1
kein Glas;6542193;1;Upper;16;120470587;1
kein Glas;6542202;2;Upper;16;86669488;1
kein Glas;6542211;3;Upper;16;107903050;1
kein Glas;6542219;4;Upper;16;102940437;1
kein Glas;6542228;5;Upper;16;106555675;1
kein Glas;6542237;6;Upper;16;88869600;1
kein Glas;6542246;7;Upper;16;90339656;1
kein Glas;6542255;0;Upper;17;91062694;1
kein Glas;6542263;1;Upper;17;121868487;1
kein Glas;6542272;2;Upper;17;87111869;1
kein Glas;6542281;3;Upper;17;108676037;1
kein Glas;6542290;4;Upper;17;103408231;1
kein Glas;6542299;5;Upper;17;106973100;1
kein Glas;6542307;6;Upper;17;88869600;1
kein Glas;6542316;7;Upper;17;90160687;1
kein Glas;6542325;0;Upper;18;90160687;1
kein Glas;6542334;1;Upper;18;121543025;1
kein Glas;6542343;2;Upper;18;87558787;1
kein Glas;6542351;3;Upper;18;108331125;1
kein Glas;6542360;4;Upper;18;103880294;1
kein Glas;6542369;5;Upper;18;106224062;1
kein Glas;6542378;6;Upper;18;88927487;1
kein Glas;6542387;7;Upper;18;90101188;1
kein Glas;6542395;0;Upper;19;91306288;1
kein Glas;6542404;1;Upper;19;121327012;1
kein Glas;6542413;2;Upper;19;87334756;1
kein Glas;6542422;3;Upper;19;108589612;1
kein Glas;6542431;4;Upper;19;103251825;1
kein Glas;6542439;5;Upper;19;107056975;1
kein Glas;6542448;6;Upper;19;89043481;1
kein Glas;6542457;7;Upper;19;90399469;1
kein Glas;6542466;0;Upper;20;90941387;1
kein Glas;6542475;1;Upper;20;122414825;1
kein Glas;6542483;2;Upper;20;87727562;1
kein Glas;6542492;3;Upper;20;108762612;1
kein Glas;6542501;4;Upper;20;103173806;1
kein Glas;6542510;5;Upper;20;106889350;1
kein Glas;6542519;6;Upper;20;89101587;1
kein Glas;6542527;7;Upper;20;91123469;1
kein Glas;6542536;0;Upper;21;90519338;1
kein Glas;6542545;1;Upper;21;122195700;1
kein Glas;6542554;2;Upper;21;87446625;1
kein Glas;6542563;3;Upper;21;108245237;1
kein Glas;6542571;4;Upper;21;102862881;1
kein Glas;6542580;5;Upper;21;106638900;1
kein Glas;6542589;6;Upper;21;89043481;1
kein Glas;6542598;7;Upper;21;90820400;1
kein Glas;6542607;0;Upper;22;90880850;1
kein Glas;6542615;1;Upper;22;122195700;1
kein Glas;6542624;2;Upper;22;87446625;1
kein Glas;6542633;3;Upper;22;109110288;1
kein Glas;6542642;4;Upper;22;103329969;1
kein Glas;6542650;5;Upper;22;106889350;1
kein Glas;6542659;6;Upper;22;89686881;1
kein Glas;6542668;7;Upper;22;90519338;1
kein Glas;6542677;0;Upper;23;90941387;1
kein Glas;6542686;1;Upper;23;121868487;1
kein Glas;6542694;2;Upper;23;87614975;1
kein Glas;6542703;3;Upper;23;109197550;1
kein Glas;6542712;4;Upper;23;104038606;1
kein Glas;6542721;5;Upper;23;106722250;1
kein Glas;6542730;6;Upper;23;89393275;1
