Label,Time,SensorNr,Identifier,Interval,Measurement,Iteration
644-2,1435487,4,Upper,16,1020174.38,1
644-2,1435496,5,Upper,16,1060590.37,1
644-2,1435505,6,Upper,16,885813.13,1
644-2,1435514,7,Upper,16,895104.88,1
644-2,1435523,0,Upper,17,908808.50,1
644-2,1435531,1,Upper,17,1181765.75,1
644-2,1435540,2,Upper,17,872231.69,1
644-2,1435549,3,Upper,17,1069731.00,1
644-2,1435558,4,Upper,17,1035651.06,1
644-2,1435567,5,Upper,17,1064725.75,1
644-2,1435575,6,Upper,17,884092.38,1
644-2,1435584,7,Upper,17,898639.75,1
644-2,1435593,0,Upper,18,915511.88,1
644-2,1435602,1,Upper,18,1185871.50,1
644-2,1435611,2,Upper,18,877275.62,1
644-2,1435619,3,Upper,18,1080738.75,1
644-2,1435628,4,Upper,18,1031738.06,1
644-2,1435637,5,Upper,18,1065556.75,1
644-2,1435646,6,Upper,18,883520.25,1
644-2,1435655,7,Upper,18,897458.37,1
644-2,1435663,0,Upper,19,913062.88,1
644-2,1435672,1,Upper,19,1185871.50,1
644-2,1435681,2,Upper,19,877275.62,1
644-2,1435690,3,Upper,19,1075630.25,1
644-2,1435699,4,Upper,19,1026309.19,1
644-2,1435707,5,Upper,19,1069731.00,1
644-2,1435716,6,Upper,19,883520.25,1
644-2,1435725,7,Upper,19,895104.88,1
644-2,1435734,0,Upper,20,917357.25,1
644-2,1435743,1,Upper,20,1174648.75,1
644-2,1435751,2,Upper,20,886964.06,1
644-2,1435760,3,Upper,20,1079030.50,1
644-2,1435769,4,Upper,20,1028628.81,1
644-2,1435778,5,Upper,20,1071409.87,1
644-2,1435787,6,Upper,20,883520.25,1
644-2,1435795,7,Upper,20,898639.75,1
644-2,1435804,0,Upper,21,913062.88,1
644-2,1435813,1,Upper,21,1193125.50,1
644-2,1435822,2,Upper,21,880670.81,1
644-2,1435831,3,Upper,21,1072251.25,1
644-2,1435839,4,Upper,21,1030181.06,1
644-2,1435848,5,Upper,21,1062240.62,1
644-2,1435857,6,Upper,21,885813.13,1
644-2,1435866,7,Upper,21,897458.37,1
644-2,1435875,0,Upper,22,913673.87,1
644-2,1435883,1,Upper,22,1187935.00,1
644-2,1435892,2,Upper,22,885813.13,1
644-2,1435901,3,Upper,22,1084171.50,1
644-2,1435910,4,Upper,22,1032518.25,1
644-2,1435919,5,Upper,22,1074783.50,1
644-2,1435927,6,Upper,22,888696.00,1
644-2,1435936,7,Upper,22,907600.25,1
644-2,1435945,0,Upper,23,917357.25,1
644-2,1435954,1,Upper,23,1190005.75,1
644-2,1435963,2,Upper,23,886388.25,1
644-2,1435971,3,Upper,23,1071409.87,1
644-2,1435980,4,Upper,23,1030959.00,1
644-2,1435989,5,Upper,23,1068057.37,1
644-2,1435998,6,Upper,23,888117.94,1
644-2,1436007,7,Upper,23,905193.38,1
644-2,1436015,0,Upper,24,916741.25,1
644-2,1436024,1,Upper,24,1194169.12,1
644-2,1436033,2,Upper,24,885238.81,1
644-2,1436042,3,Upper,24,1079884.00,1
644-2,1436051,4,Upper,24,1035651.06,1
644-2,1436059,5,Upper,24,1067222.50,1
644-2,1436068,6,Upper,24,886388.25,1
644-2,1436077,7,Upper,24,908204.00,1
644-2,1436086,0,Upper,25,917974.00,1
644-2,1436095,1,Upper,25,1194169.12,1
644-2,1436103,2,Upper,25,884092.38,1
644-2,1436112,3,Upper,25,1075630.25,1
644-2,1436121,4,Upper,25,1023232.56,1
644-2,1436130,5,Upper,25,1067222.50,1
644-2,1436139,6,Upper,25,883520.25,1
644-2,1436147,7,Upper,25,900417.69,1
644-2,1436156,0,Upper,26,916741.25,1
