Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Styrolution,3,1114286,3,Upper,1,962632.19,1
Styrolution,3,1114305,4,Upper,1,886388.25,1
Styrolution,3,1114313,5,Upper,1,927956.50,1
Styrolution,3,1114322,6,Upper,1,756696.81,1
Styrolution,3,1114330,7,Upper,1,773413.88,1
Styrolution,3,1114339,0,Upper,2,816424.19,1
Styrolution,3,1114347,1,Upper,2,1082452.37,1
Styrolution,3,1114356,2,Upper,2,805348.00,1
Styrolution,3,1114364,3,Upper,2,963311.38,1
Styrolution,3,1114373,4,Upper,2,895692.12,1
Styrolution,3,1114381,5,Upper,2,929852.44,1
Styrolution,3,1114390,6,Upper,2,755859.00,1
Styrolution,3,1114398,7,Upper,2,780487.81,1
Styrolution,3,1114407,0,Upper,3,812537.19,1
Styrolution,3,1114415,1,Upper,3,1079884.00,1
Styrolution,3,1114424,2,Upper,3,799687.63,1
Styrolution,3,1114432,3,Upper,3,954556.06,1
Styrolution,3,1114441,4,Upper,3,899231.63,1
Styrolution,3,1114449,5,Upper,3,924813.75,1
Styrolution,3,1114458,6,Upper,3,758378.06,1
Styrolution,3,1114466,7,Upper,3,771229.50,1
Styrolution,3,1114475,0,Upper,4,810607.56,1
Styrolution,3,1114483,1,Upper,4,1076478.37,1
Styrolution,3,1114492,2,Upper,4,803925.44,1
Styrolution,3,1114500,3,Upper,4,952558.13,1
Styrolution,3,1114509,4,Upper,4,889274.87,1
Styrolution,3,1114517,5,Upper,4,919210.06,1
Styrolution,3,1114526,6,Upper,4,759221.50,1
Styrolution,3,1114534,7,Upper,4,772101.81,1
Styrolution,3,1114543,0,Upper,5,805823.31,1
Styrolution,3,1114551,1,Upper,5,1074783.50,1
Styrolution,3,1114560,2,Upper,5,802036.44,1
Styrolution,3,1114568,3,Upper,5,954556.06,1
Styrolution,3,1114577,4,Upper,5,888696.00,1
Styrolution,3,1114585,5,Upper,5,924813.75,1
Styrolution,3,1114594,6,Upper,5,755440.81,1
Styrolution,3,1114602,7,Upper,5,768624.50,1
Styrolution,3,1114611,0,Upper,6,809646.19,1
Styrolution,3,1114619,1,Upper,6,1072251.25,1
Styrolution,3,1114628,2,Upper,6,804399.06,1
Styrolution,3,1114636,3,Upper,6,951230.81,1
Styrolution,3,1114645,4,Upper,6,887540.62,1
Styrolution,3,1114653,5,Upper,6,922314.81,1
Styrolution,3,1114662,6,Upper,6,760066.81,1
Styrolution,3,1114670,7,Upper,6,780041.88,1
Styrolution,3,1114679,0,Upper,7,804873.25,1
Styrolution,3,1114687,1,Upper,7,1073938.12,1
Styrolution,3,1114696,2,Upper,7,803452.31,1
Styrolution,3,1114704,3,Upper,7,961954.00,1
Styrolution,3,1114713,4,Upper,7,886964.06,1
Styrolution,3,1114721,5,Upper,7,911843.25,1
Styrolution,3,1114730,6,Upper,7,761763.06,1
Styrolution,3,1114738,7,Upper,7,769490.88,1
Styrolution,3,1114747,0,Upper,8,807730.25,1
Styrolution,3,1114755,1,Upper,8,1073094.00,1
Styrolution,3,1114764,2,Upper,8,793644.63,1
Styrolution,3,1114772,3,Upper,8,948587.31,1
Styrolution,3,1114781,4,Upper,8,888696.00,1
Styrolution,3,1114789,5,Upper,8,915511.88,1
Styrolution,3,1114798,6,Upper,8,755023.06,1
Styrolution,3,1114806,7,Upper,8,767760.06,1
Styrolution,3,1114815,0,Upper,9,806775.62,1
Styrolution,3,1114823,1,Upper,9,1069731.00,1
Styrolution,3,1114832,2,Upper,9,801095.25,1
Styrolution,3,1114840,3,Upper,9,951894.00,1
Styrolution,3,1114849,4,Upper,9,885813.13,1
Styrolution,3,1114857,5,Upper,9,920449.44,1
Styrolution,3,1114866,6,Upper,9,754188.94,1
Styrolution,3,1114874,7,Upper,9,764321.69,1
Styrolution,3,1114883,0,Upper,10,804873.25,1
Styrolution,3,1114891,1,Upper,10,1066389.00,1
Styrolution,3,1114900,2,Upper,10,796422.31,1
Styrolution,3,1114908,3,Upper,10,945303.50,1
Styrolution,3,1114917,4,Upper,10,888696.00,1
Styrolution,3,1114925,5,Upper,10,914898.37,1
Styrolution,3,1114934,6,Upper,10,758799.56,1
Styrolution,3,1114942,7,Upper,10,765607.50,1
Styrolution,3,1114951,0,Upper,11,803925.44,1
Styrolution,3,1114959,1,Upper,11,1079030.50,1
Styrolution,3,1114968,2,Upper,11,790428.37,1
Styrolution,3,1114976,3,Upper,11,941392.81,1
Styrolution,3,1114985,4,Upper,11,884092.38,1
Styrolution,3,1114993,5,Upper,11,918591.63,1
Styrolution,3,1115002,6,Upper,11,744998.19,1
Styrolution,3,1115010,7,Upper,11,761763.06,1
Styrolution,3,1115019,0,Upper,12,798751.94,1
Styrolution,3,1115027,1,Upper,12,1074783.50,1
Styrolution,3,1115036,2,Upper,12,795031.06,1
Styrolution,3,1115044,3,Upper,12,944649.44,1
Styrolution,3,1115053,4,Upper,12,885238.81,1
Styrolution,3,1115061,5,Upper,12,914285.69,1
Styrolution,3,1115070,6,Upper,12,753772.56,1
Styrolution,3,1115078,7,Upper,12,767760.06,1
Styrolution,3,1115087,0,Upper,13,799687.63,1
Styrolution,3,1115095,1,Upper,13,1071409.87,1
Styrolution,3,1115104,2,Upper,13,790886.25,1
Styrolution,3,1115112,3,Upper,13,946614.31,1
Styrolution,3,1115121,4,Upper,13,879536.19,1
Styrolution,3,1115129,5,Upper,13,914285.69,1
Styrolution,3,1115138,6,Upper,13,746627.75,1
Styrolution,3,1115146,7,Upper,13,761763.06,1
Styrolution,3,1115155,0,Upper,14,802036.44,1
Styrolution,3,1115163,1,Upper,14,1077327.75,1
Styrolution,3,1115172,2,Upper,14,793183.56,1
Styrolution,3,1115180,3,Upper,14,949246.81,1
Styrolution,3,1115189,4,Upper,14,877839.69,1
Styrolution,3,1115197,5,Upper,14,919210.06,1
Styrolution,3,1115206,6,Upper,14,744186.06,1
Styrolution,3,1115214,7,Upper,14,766037.00,1
Styrolution,3,1115223,0,Upper,15,802507.81,1
Styrolution,3,1115231,1,Upper,15,1079030.50,1
Styrolution,3,1115240,2,Upper,15,789971.06,1
Styrolution,3,1115248,3,Upper,15,945303.50,1
Styrolution,3,1115257,4,Upper,15,877839.69,1
Styrolution,3,1115265,5,Upper,15,909413.87,1
Styrolution,3,1115274,6,Upper,15,751697.56,1
Styrolution,3,1115282,7,Upper,15,761338.31,1
Styrolution,3,1115291,0,Upper,16,798284.94,1
Styrolution,3,1115299,1,Upper,16,1065556.75,1
Styrolution,3,1115308,2,Upper,16,789971.06,1
Styrolution,3,1115316,3,Upper,16,948587.31,1
Styrolution,3,1115325,4,Upper,16,884092.38,1
Styrolution,3,1115333,5,Upper,16,915511.88,1
Styrolution,3,1115342,6,Upper,16,751283.94,1
Styrolution,3,1115350,7,Upper,16,772101.81,1
Styrolution,3,1115359,0,Upper,17,802979.81,1
Styrolution,3,1115367,1,Upper,17,1073094.00,1
Styrolution,3,1115376,2,Upper,17,788147.00,1
Styrolution,3,1115384,3,Upper,17,944649.44,1
Styrolution,3,1115393,4,Upper,17,876712.31,1
Styrolution,3,1115401,5,Upper,17,911843.25,1
Styrolution,3,1115410,6,Upper,17,742567.06,1
Styrolution,3,1115418,7,Upper,17,761763.06,1
Styrolution,3,1115427,0,Upper,18,802036.44,1
Styrolution,3,1115435,1,Upper,18,1068893.50,1
Styrolution,3,1115444,2,Upper,18,789971.06,1
Styrolution,3,1115452,3,Upper,18,942042.31,1
Styrolution,3,1115461,4,Upper,18,878404.44,1
Styrolution,3,1115469,5,Upper,18,913673.87,1
Styrolution,3,1115478,6,Upper,18,740151.81,1
Styrolution,3,1115486,7,Upper,18,759221.50,1
Styrolution,3,1115495,0,Upper,19,798284.94,1
Styrolution,3,1115503,1,Upper,19,1063067.75,1
Styrolution,3,1115512,2,Upper,19,793183.56,1
Styrolution,3,1115520,3,Upper,19,942692.75,1
Styrolution,3,1115529,4,Upper,19,871674.81,1
Styrolution,3,1115537,5,Upper,19,910020.00,1
Styrolution,3,1115546,6,Upper,19,743375.69,1
Styrolution,3,1115554,7,Upper,19,761763.06,1
Styrolution,3,1115563,0,Upper,20,796422.31,1
Styrolution,3,1115571,1,Upper,20,1066389.00,1
Styrolution,3,1115580,2,Upper,20,789971.06,1
Styrolution,3,1115588,3,Upper,20,942692.75,1
Styrolution,3,1115597,4,Upper,20,872789.25,1
Styrolution,3,1115605,5,Upper,20,907600.25,1
Styrolution,3,1115614,6,Upper,20,744186.06,1
Styrolution,3,1115622,7,Upper,20,760490.19,1
Styrolution,3,1115631,0,Upper,21,799687.63,1
Styrolution,3,1115639,1,Upper,21,1063067.75,1
